Team,Games,Wins,Home Games,Home Wins
Philadelphia Eagles,16,9.0,8,5.0
Atlanta Falcons,16,7.0,8,4.0
Tampa Bay Buccaneers,16,5.0,8,4.0
New Orleans Saints,16,13.0,8,6.0
Minnesota Vikings,16,8.5,8,5.0
San Francisco 49ers,16,4.0,8,4.0
Miami Dolphins,16,7.0,8,6.0
Tennessee Titans,16,9.0,8,6.0
Jacksonville Jaguars,16,5.0,8,3.0
New York Giants,16,5.0,8,2.0
Pittsburgh Steelers,16,9.5,8,5.0
Cleveland Browns,16,7.5,8,5.5
New England Patriots,16,11.0,8,8.0
Houston Texans,16,11.0,8,6.0
Cincinnati Bengals,16,6.0,8,4.0
Indianapolis Colts,16,10.0,8,6.0
Baltimore Ravens,16,10.0,8,6.0
Buffalo Bills,16,6.0,8,4.0
Kansas City Chiefs,16,12.0,8,7.0
Los Angeles Chargers,16,12.0,8,5.0
Carolina Panthers,16,7.0,8,5.0
Dallas Cowboys,16,10.0,8,7.0
Washington Redskins,16,7.0,8,3.0
Arizona Cardinals,16,3.0,8,1.0
Denver Broncos,16,6.0,8,3.0
Seattle Seahawks,16,10.0,8,6.0
Green Bay Packers,16,6.5,8,5.5
Chicago Bears,16,12.0,8,7.0
New York Jets,16,4.0,8,2.0
Detroit Lions,16,6.0,8,3.0
Los Angeles Rams,16,13.0,8,7.0
Oakland Raiders,16,4.0,8,3.0
